plot_id,country_iso3,plot_shape,plot_area,latitude_of_centre,longitude_of_centre,census_date
MAR_204,MOZ,circle,0.125663706143592,-13.258768,37.527887,2015
MAR_205,MOZ,circle,0.125663706143592,-13.256426,37.465865,2015
MAR_207,MOZ,circle,0.125663706143592,-13.253011,37.465637,2015
MAR_208,MOZ,circle,0.125663706143592,-13.252646,37.483708,2015
MAR_209,MOZ,circle,0.125663706143592,-13.250869,37.493893,2015
MAR_210,MOZ,circle,0.125663706143592,-13.249912,37.517815,2015
MAR_211,MOZ,circle,0.125663706143592,-13.247917,37.515317,2015
MAR_212,MOZ,circle,0.125663706143592,-13.247477,37.493678,2015
MAR_214,MOZ,circle,0.125663706143592,-13.24441,37.51519,2015
MAR_215,MOZ,circle,0.125663706143592,-13.24303,37.533747,2015
MAR_217,MOZ,circle,0.125663706143592,-13.242891,37.564762,2015
MAR_218,MOZ,circle,0.125663706143592,-13.24128,37.565984,2015
MAR_219,MOZ,circle,0.125663706143592,-13.239271,37.533612,2015
MAR_220,MOZ,circle,0.125663706143592,-13.239047,37.527166,2015
MAR_222,MOZ,circle,0.125663706143592,-13.238422,37.541463,2015
MAR_223,MOZ,circle,0.125663706143592,-13.237861,37.566715,2015
MAR_224,MOZ,circle,0.125663706143592,-13.237617,37.565997,2015
MAR_225,MOZ,circle,0.125663706143592,-13.237218,37.564291,2015
MAR_226,MOZ,circle,0.125663706143592,-13.229991,37.563929,2015
MAR_227,MOZ,circle,0.125663706143592,-13.227722,37.572497,2015
MAR_228,MOZ,circle,0.125663706143592,-13.226328,37.563939,2015
MAR_229,MOZ,circle,0.125663706143592,-13.224058,37.572504,2015
MAR_230,MOZ,circle,0.125663706143592,-13.222692,37.578868,2015
MAR_231,MOZ,circle,0.125663706143592,-13.137297,37.451408,2015
MAR_232,MOZ,circle,0.125663706143592,-13.135695,37.437989,2015
MAR_233,MOZ,circle,0.125663706143592,-13.135193,37.426451,2015
MAR_234,MOZ,circle,0.125663706143592,-13.13376,37.45117,2015
MAR_235,MOZ,circle,0.125663706143592,-13.13213,37.4377,2015
MAR_236,MOZ,circle,0.125663706143592,-13.131625,37.42621,2015
MAR_237,MOZ,circle,0.125663706143592,-13.128389,37.467831,2015
MAR_238,MOZ,circle,0.125663706143592,-13.127372,37.436689,2015
MAR_239,MOZ,circle,0.125663706143592,-13.125349,37.471627,2015
MAR_240,MOZ,circle,0.125663706143592,-13.121796,37.471373,2015
MAR_241,MOZ,circle,0.125663706143592,-13.115447,37.46112,2015
MAR_242,MOZ,circle,0.125663706143592,-13.113615,37.460981,2015
MAR_243,MOZ,circle,0.125663706143592,-24.00767,32.842999,2014
MAR_244,MOZ,circle,0.125663706143592,-24.002431,32.871749,2014
MAR_245,MOZ,circle,0.125663706143592,-24.000108,32.861936,2014
MAR_246,MOZ,circle,0.125663706143592,-23.997747,32.874729,2014
MAR_247,MOZ,circle,0.125663706143592,-23.992707,32.872003,2014
MAR_248,MOZ,circle,0.125663706143592,-23.983897,32.878139,2014
MAR_249,MOZ,circle,0.125663706143592,-23.983386,32.854725,2014
MAR_250,MOZ,circle,0.125663706143592,-23.9822178,32.84935875,2014
MAR_251,MOZ,circle,0.125663706143592,-23.980824,32.890332,2014
MAR_252,MOZ,circle,0.125663706143592,-23.9775078,32.85433823,2014
MAR_253,MOZ,circle,0.125663706143592,-23.975063,32.883254,2014
MAR_254,MOZ,circle,0.125663706143592,-23.973997,32.905042,2014
MAR_255,MOZ,circle,0.125663706143592,-23.96524,32.855095,2014
MAR_256,MOZ,circle,0.125663706143592,-23.964393,32.875087,2014
MAR_257,MOZ,circle,0.125663706143592,-23.960589,32.848663,2014
MAR_258,MOZ,circle,0.125663706143592,-23.959282,32.69998,2014
MAR_259,MOZ,circle,0.125663706143592,-23.9579456,32.84693965,2014
MAR_260,MOZ,circle,0.125663706143592,-23.956977,32.884469,2014
MAR_261,MOZ,circle,0.125663706143592,-23.955345,32.694032,2014
MAR_262,MOZ,circle,0.125663706143592,-23.955211,32.87274557,2014
MAR_263,MOZ,circle,0.125663706143592,-23.950463,32.695174,2014
MAR_264,MOZ,circle,0.125663706143592,-23.9493907,32.87436529,2014
MAR_265,MOZ,circle,0.125663706143592,-23.948809,32.826704,2014
MAR_266,MOZ,circle,0.125663706143592,-23.948422,32.689168,2014
MAR_267,MOZ,circle,0.125663706143592,-23.947327,32.822782,2014
MAR_268,MOZ,circle,0.125663706143592,-23.945152,32.82279,2014
MAR_269,MOZ,circle,0.125663706143592,-23.943722,32.75748722,2014
MAR_270,MOZ,circle,0.125663706143592,-23.94179,32.753738,2014
MAR_271,MOZ,circle,0.125663706143592,-23.941639,32.870925,2014
MAR_272,MOZ,circle,0.125663706143592,-23.937446,32.710543,2014
MAR_273,MOZ,circle,0.125663706143592,-23.936799,32.696136,2014
MAR_275,MOZ,circle,0.125663706143592,-23.933429,32.700771,2014
MAR_276,MOZ,circle,0.125663706143592,-23.932283,32.700628,2014
MAR_277,MOZ,circle,0.125663706143592,-23.931794,32.736671,2014
MAR_278,MOZ,circle,0.125663706143592,-23.93091,32.681526,2014
MAR_279,MOZ,circle,0.125663706143592,-23.930431,32.736034,2014
MAR_280,MOZ,circle,0.125663706143592,-23.926593,32.693907,2014
MAR_281,MOZ,circle,0.125663706143592,-23.925501,32.724962,2014
MAR_282,MOZ,circle,0.125663706143592,-23.924048,32.713194,2014
MAR_283,MOZ,circle,0.125663706143592,-23.91956,32.717692,2014
MAR_288,MOZ,circle,0.125663706143592,-23.896865,32.717587,2014
MAR_289,MOZ,circle,0.125663706143592,-23.893425,32.713091,2014
MAR_290,MOZ,circle,0.125663706143592,-23.88928,32.722833,2014
MAR_291,MOZ,circle,0.125663706143592,-23.806092,32.721274,2014
MAR_292,MOZ,circle,0.125663706143592,-23.805285,32.722447,2014
MAR_293,MOZ,circle,0.125663706143592,-23.8019617,32.73200183,2014
MAR_294,MOZ,circle,0.125663706143592,-23.799,32.705464,2014
MAR_295,MOZ,circle,0.125663706143592,-23.794446,32.675256,2014
MAR_296,MOZ,circle,0.125663706143592,-23.789794,32.733641,2014
MAR_297,MOZ,circle,0.125663706143592,-23.788018,32.736267,2014
MAR_298,MOZ,circle,0.125663706143592,-23.785231,32.670526,2014
MAR_299,MOZ,circle,0.125663706143592,-23.779463,32.674803,2014
MAR_301,MOZ,circle,0.125663706143592,-23.7734597,32.70915655,2014
MAR_302,MOZ,circle,0.125663706143592,-23.762274,32.714361,2014
MAR_303,MOZ,circle,0.125663706143592,-23.7603118,32.7161597,2014
MAR_305,MOZ,circle,0.125663706143592,-23.758127,32.676573,2014
MAR_306,MOZ,circle,0.125663706143592,-23.758016,32.744318,2014
MAR_307,MOZ,circle,0.125663706143592,-23.756472,32.720107,2014
MAR_309,MOZ,circle,0.125663706143592,-23.7538085,32.71407531,2014
MAR_310,MOZ,circle,0.125663706143592,-23.748761,32.71492,2014
MAR_311,MOZ,circle,0.125663706143592,-23.748399,32.711126,2014
MAR_312,MOZ,circle,0.125663706143592,-23.748377,32.70874,2014
MAR_314,MOZ,circle,0.125663706143592,-23.739614,32.730965,2014
MAR_315,MOZ,circle,0.125663706143592,-23.543869,32.935952,2014
MAR_316,MOZ,circle,0.125663706143592,-23.543612,32.898567,2014
MAR_317,MOZ,circle,0.125663706143592,-23.540683,32.933058,2014
MAR_318,MOZ,circle,0.125663706143592,-23.536855,32.907947,2014
MAR_319,MOZ,circle,0.125663706143592,-23.534703,32.921217,2014
MAR_320,MOZ,circle,0.125663706143592,-23.530021,32.892622,2014
MAR_321,MOZ,circle,0.125663706143592,-23.528636,32.886944,2014
MAR_322,MOZ,circle,0.125663706143592,-23.522791,32.953266,2014
MAR_324,MOZ,circle,0.125663706143592,-23.517558,32.96438,2014
MAR_325,MOZ,circle,0.125663706143592,-23.516842,32.949435,2014
MAR_326,MOZ,circle,0.125663706143592,-23.516209,32.886834,2014
MAR_327,MOZ,circle,0.125663706143592,-23.515204,32.929925,2014
MAR_328,MOZ,circle,0.125663706143592,-23.512285,32.92488,2014
MAR_329,MOZ,circle,0.125663706143592,-23.511228,32.956968,2014
MAR_330,MOZ,circle,0.125663706143592,-23.510773,32.942426,2014
MAR_331,MOZ,circle,0.125663706143592,-23.508245,32.89352,2014
MAR_332,MOZ,circle,0.125663706143592,-23.501534,32.922355,2014
MAR_333,MOZ,circle,0.125663706143592,-23.495954,32.93527,2014
MAR_334,MOZ,circle,0.125663706143592,-23.488021,32.937064,2014
MAR_335,MOZ,circle,0.125663706143592,-23.484392,32.955808,2014
MAR_336,MOZ,circle,0.125663706143592,-23.483283,32.939799,2014
MAR_337,MOZ,circle,0.125663706143592,-23.478295,32.944302,2014
MAR_338,MOZ,circle,0.125663706143592,-23.476424,32.954574,2014
MAR_339,MOZ,circle,0.125663706143592,-23.414513,33.032431,2014
MAR_340,MOZ,circle,0.125663706143592,-23.407507,33.024319,2014
MAR_341,MOZ,circle,0.125663706143592,-23.407084,33.036475,2014
MAR_342,MOZ,circle,0.125663706143592,-23.402352,33.008711,2014
MAR_343,MOZ,circle,0.125663706143592,-23.400129,33.041692,2014
MAR_344,MOZ,circle,0.125663706143592,-23.392543,33.049441,2014
MAR_345,MOZ,circle,0.125663706143592,-23.389001,32.993724,2014
MAR_346,MOZ,circle,0.0706858347057703,-23.387485,32.730353,2014
MAR_347,MOZ,circle,0.125663706143592,-23.387443,33.052171,2014
MAR_348,MOZ,circle,0.196349540849362,-23.383115,32.718211,2014
MAR_349,MOZ,circle,0.125663706143592,-23.381652,33.047121,2014
MAR_350,MOZ,circle,0.0314159265358979,-23.380427,32.723016,2014
MAR_351,MOZ,circle,0.125663706143592,-23.380407,33.025597,2014
MAR_352,MOZ,circle,0.196349540849362,-23.379055,32.729541,2014
MAR_353,MOZ,circle,0.125663706143592,-23.378759,33.057396,2014
MAR_354,MOZ,circle,0.0314159265358979,-23.37729,32.686445,2014
MAR_355,MOZ,circle,0.125663706143592,-23.375828,33.022644,2014
MAR_356,MOZ,circle,0.196349540849362,-23.375182,32.721134,2014
MAR_357,MOZ,circle,0.125663706143592,-23.374097,33.006237,2014
MAR_359,MOZ,circle,0.125663706143592,-23.372017,33.069222,2014
MAR_360,MOZ,circle,0.125663706143592,-23.371733,33.023199,2014
MAR_361,MOZ,circle,0.125663706143592,-23.371664,33.061556,2014
MAR_362,MOZ,circle,0.196349540849362,-23.370989,32.707364,2014
MAR_363,MOZ,circle,0.196349540849362,-23.370799,32.676795,2014
MAR_364,MOZ,circle,0.0706858347057703,-23.369919,32.717715,2014
MAR_365,MOZ,circle,0.125663706143592,-23.36974,32.995358,2014
MAR_366,MOZ,circle,0.125663706143592,-23.369081,33.083167,2014
MAR_367,MOZ,circle,0.125663706143592,-23.365492,33.01916,2014
MAR_368,MOZ,circle,0.0706858347057703,-23.364128,32.727714,2014
MAR_369,MOZ,circle,0.196349540849362,-23.36394,32.667614,2014
MAR_370,MOZ,circle,0.196349540849362,-23.363916,32.669909,2014
MAR_371,MOZ,circle,0.125663706143592,-23.362488,32.737753,2014
MAR_372,MOZ,circle,0.0314159265358979,-23.360939,32.701395,2014
MAR_373,MOZ,circle,0.196349540849362,-23.357613,32.673149,2014
MAR_374,MOZ,circle,0.196349540849362,-23.35535,32.690966,2014
MAR_375,MOZ,circle,0.125663706143592,-23.350566,33.011742,2014
MAR_376,MOZ,circle,0.125663706143592,-23.347694,33.00441,2014
MAR_377,MOZ,circle,0.196349540849362,-23.347324,32.692808,2014
MAR_378,MOZ,circle,0.125663706143592,-23.34398,33.008393,2014
MAR_379,MOZ,circle,0.125663706143592,-23.343418,33.018669,2014
MAR_380,MOZ,circle,0.196349540849362,-23.339742,32.698212,2014
MAR_381,MOZ,circle,0.196349540849362,-23.332828,32.711598,2014
MAR_382,MOZ,circle,0.125663706143592,-23.243348,32.53835,2014
MAR_383,MOZ,circle,0.125663706143592,-23.239398,32.546455,2014
MAR_384,MOZ,circle,0.125663706143592,-23.23146,32.563794,2014
MAR_385,MOZ,circle,0.125663706143592,-23.227436,32.582502,2014
MAR_386,MOZ,circle,0.125663706143592,-23.219442,32.538796,2014
MAR_387,MOZ,circle,0.125663706143592,-23.218984,32.516059,2014
MAR_388,MOZ,circle,0.125663706143592,-23.21775,32.558631,2014
MAR_389,MOZ,circle,0.125663706143592,-23.214641,32.561818,2014
MAR_390,MOZ,circle,0.125663706143592,-23.212344,32.518397,2014
MAR_391,MOZ,circle,0.125663706143592,-23.212465,32.600352,2014
MAR_392,MOZ,circle,0.125663706143592,-23.206462,32.564528,2014
MAR_393,MOZ,circle,0.125663706143592,-23.203567,32.590424,2014
MAR_394,MOZ,circle,0.125663706143592,-23.201,32.59481,2014
MAR_395,MOZ,circle,0.125663706143592,-23.200658,32.565024,2014
MAR_396,MOZ,circle,0.125663706143592,-23.195448,32.531999,2014
MAR_397,MOZ,circle,0.125663706143592,-23.186956,32.558806,2014
MAR_398,MOZ,circle,0.125663706143592,-23.184135,32.536364,2014
MAR_399,MOZ,circle,0.125663706143592,-23.182095,32.549238,2014
MAR_400,MOZ,circle,0.125663706143592,-23.180134,32.543848,2014
MAR_401,MOZ,circle,0.125663706143592,-23.17537,32.541338,2014
MAR_402,MOZ,circle,0.125663706143592,-23.174209,32.533937,2014
MAR_403,MOZ,circle,0.125663706143592,-23.174158,32.540356,2014
MAR_404,MOZ,circle,0.125663706143592,-23.171873,32.539858,2014
