system:index,bd_mean_0_20,bd_mean_20_50,bd_stdev_0_20,bd_stdev_20_50,calcium_extractable_mean_0_20,calcium_extractable_mean_20_50,calcium_extractable_stdev_0_20,calcium_extractable_stdev_20_50,cec_mean_0_20,cec_mean_20_50,cec_stdev_0_20,cec_stdev_20_50,clay_mean_0_20,clay_mean_20_50,clay_stdev_0_20,clay_stdev_20_50,iron_extractable_mean_0_20,iron_extractable_mean_20_50,iron_extractable_stdev_0_20,iron_extractable_stdev_20_50,magnesium_extractable_mean_0_20,magnesium_extractable_mean_20_50,magnesium_extractable_stdev_0_20,magnesium_extractable_stdev_20_50,nitrogen_total_mean_0_20,nitrogen_total_mean_20_50,nitrogen_total_stdev_0_20,nitrogen_total_stdev_20_50,ph_mean_0_20,ph_mean_20_50,ph_stdev_0_20,ph_stdev_20_50,phosphorus_extractable_mean_0_20,phosphorus_extractable_mean_20_50,phosphorus_extractable_stdev_0_20,phosphorus_extractable_stdev_20_50,plot_id,potassium_extractable_mean_0_20,potassium_extractable_mean_20_50,potassium_extractable_stdev_0_20,potassium_extractable_stdev_20_50,sand_mean_0_20,sand_mean_20_50,sand_stdev_0_20,sand_stdev_20_50,silt_mean_0_20,silt_mean_20_50,silt_stdev_0_20,silt_stdev_20_50,soc_mean_0_20,soc_mean_20_50,soc_stdev_0_20,soc_stdev_20_50,sulfur_extractable_mean_0_20,sulfur_extractable_mean_20_50,sulfur_extractable_stdev_0_20,sulfur_extractable_stdev_20_50,zinc_extractable_mean_0_20,zinc_extractable_mean_20_50,zinc_extractable_stdev_0_20,zinc_extractable_stdev_20_50,.geo
0000000000000000002d_0_0,133,135,4,4,70,70,1,1,26,26,1,1,24,28,1,2,43,33,4,4,55,55,3,4,73,54,9,6,60,60,1,1,26,24,2,2,MAR_51,47,44,2,3,54,50,5,6,16,15,2,2,24,19,1,1,14,11,5,7,11,10,2,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002e_0_0,133,135,4,4,70,70,1,1,26,26,1,1,24,28,1,2,43,33,4,4,55,55,3,4,73,54,9,6,60,60,1,1,26,24,2,2,MAR_52,47,44,2,3,54,50,5,6,16,15,2,2,24,19,1,1,14,11,5,7,11,10,2,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002f_0_0,133,135,4,4,70,70,1,1,26,26,1,1,24,28,1,2,43,33,4,4,55,55,3,4,73,54,9,6,60,60,1,1,26,24,2,2,MAR_53,47,44,2,3,54,50,5,6,16,15,2,2,24,19,1,1,14,11,5,7,11,10,2,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000030_0_0,136,136,3,1,66,64,3,4,25,26,2,2,24,29,2,2,42,32,4,3,52,52,1,1,65,48,3,6,59,58,1,0,24,21,2,1,MAR_54,47,44,1,2,60,55,2,1,14,14,2,2,23,18,1,1,14,10,4,6,12,10,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000031_0_0,139,140,4,3,65,64,1,1,25,25,1,0,22,27,3,2,43,33,4,4,52,53,1,1,67,52,7,6,58,58,1,1,24,22,1,0,MAR_56,45,44,2,2,59,55,3,4,13,13,2,2,23,19,1,1,13,10,3,6,9,8,2,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000032_0_0,139,140,4,3,65,64,1,1,25,25,1,0,22,27,3,2,43,33,4,4,52,53,1,1,67,52,7,6,58,58,1,1,24,22,1,0,MAR_57,45,44,2,2,59,55,3,4,13,13,2,2,23,19,1,1,13,10,3,6,9,8,2,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000033_0_0,133,135,4,4,70,70,1,1,26,26,1,1,24,28,1,2,43,33,4,4,55,55,3,4,73,54,9,6,60,60,1,1,26,24,2,2,MAR_58,47,44,2,3,54,50,5,6,16,15,2,2,24,19,1,1,14,11,5,7,11,10,2,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000034_0_0,139,140,4,3,65,64,1,1,25,25,1,0,22,27,3,2,43,33,4,4,52,53,1,1,67,52,7,6,58,58,1,1,24,22,1,0,MAR_59,45,44,2,2,59,55,3,4,13,13,2,2,23,19,1,1,13,10,3,6,9,8,2,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000035_0_0,139,140,4,3,65,64,1,1,25,25,1,0,22,27,3,2,43,33,4,4,52,53,1,1,67,52,7,6,58,58,1,1,24,22,1,0,MAR_60,45,44,2,2,59,55,3,4,13,13,2,2,23,19,1,1,13,10,3,6,9,8,2,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000036_0_0,133,135,4,4,70,70,1,1,26,26,1,1,24,28,1,2,43,33,4,4,55,55,3,4,73,54,9,6,60,60,1,1,26,24,2,2,MAR_61,47,44,2,3,54,50,5,6,16,15,2,2,24,19,1,1,14,11,5,7,11,10,2,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
