system:index,fire_frequency,plot_id,.geo
00000000000000000118_0_0,0,MAR_317,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000119_0_0,0,MAR_318,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000011a_0_0,0,MAR_319,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000011b_0_0,0,MAR_320,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000011c_0_0,0,MAR_321,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000011d_0_0,0,MAR_322,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000011e_0_0,0,MAR_324,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000011f_0_0,0,MAR_325,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000120_0_0,0,MAR_326,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000121_0_0,0,MAR_327,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000122_0_0,0,MAR_328,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000123_0_0,0,MAR_329,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000124_0_0,0,MAR_330,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000125_0_0,0,MAR_331,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000126_0_0,0,MAR_332,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000127_0_0,0,MAR_333,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000128_0_0,0,MAR_334,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000129_0_0,1,MAR_335,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000012a_0_0,1,MAR_336,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000012b_0_0,1,MAR_337,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000012c_0_0,1,MAR_338,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000012d_0_0,0,MAR_339,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000012e_0_0,0,MAR_340,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000012f_0_0,0,MAR_341,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000130_0_0,0,MAR_342,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000131_0_0,0,MAR_343,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000132_0_0,0,MAR_344,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000133_0_0,0,MAR_345,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000135_0_0,0,MAR_347,"{""type"":""MultiPoint"",""coordinates"":[]}"
