plot_id,UMAP1,UMAP2,UMAP3,perturbation,singularity,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,lineage2,lineage3,lineage4,lineage5,lineage6,lineage7,lineage8
MAR_201,1.3152972,3.451258,0.9682119,0.7333333333333333,0.4666666666666667,1,1,1,0,2,0,1,0,1,1,1,1,1,1,1
MAR_202,1.1988046,3.6491902,1.8663715,0.13333333333333333,2.7333333333333334,1,1,1,0,2,0,3,3,1,1,1,1,1,1,1.1
MAR_203,0.17937197,2.917165,1.8416154,1.4666666666666666,0.6,1,1,1,0,2,0,1,0,1,1,1,1,1,1,1
MAR_204,1.2209084,2.5829177,1.0963858,0.26666666666666666,0.7333333333333333,1,1,1,0,2,0,1,0,1,1,1,1,1,1,1
MAR_205,1.4128449,3.5488503,1.0368015,0.4666666666666667,0.13333333333333333,1,1,1,0,2,0,1,0,1,1,1,1,1,1,1
MAR_207,1.4808339,2.9108732,1.4357597,0.2,0.4666666666666667,1,1,1,0,2,0,1,0,1,1,1,1,1,1,1
MAR_208,0.069687106,2.3364747,1.4401295,0.8666666666666667,0.06666666666666667,1,1,1,0,5,2,2,2,1,1,1,1,1.1,1.1,1.1
MAR_209,0.57961637,3.4247503,1.406969,0.3333333333333333,1.6,1,1,1,0,2,0,1,0,1,1,1,1,1,1,1
MAR_210,1.3133978,3.7236347,1.1208167,0.4666666666666667,0.4666666666666667,1,1,1,0,2,0,1,0,1,1,1,1,1,1,1
MAR_211,0.21489048,2.8236222,2.0431263,0.6666666666666666,0.2,1,1,1,0,2,0,1,0,1,1,1,1,1,1,1
MAR_212,1.1091133,4.0733833,2.0139258,0.06666666666666667,1.3333333333333333,1,1,1,0,2,0,3,3,1,1,1,1,1,1,1.1
MAR_214,1.0221127,3.9950752,2.7460816,0.6,0.13333333333333333,1,1,1,0,2,0,3,3,1,1,1,1,1,1,1.1
MAR_215,0.9841078,3.6957667,1.6064556,0.6,0.8666666666666667,1,1,1,0,2,0,3,3,1,1,1,1,1,1,1.1
MAR_217,1.4829613,2.719796,1.4135939,0.4,0.13333333333333333,1,1,1,0,2,0,1,0,1,1,1,1,1,1,1
MAR_218,0.19052473,3.2560456,1.015135,0.6,0.4666666666666667,1,1,1,0,2,0,1,0,1,1,1,1,1,1,1
MAR_219,1.3653953,3.6337311,0.9852879,0.06666666666666667,0.4,1,1,1,0,2,0,1,0,1,1,1,1,1,1,1
MAR_22,-0.66542315,0.070089124,0.88608885,0.4,0.13333333333333333,0,0,0,4,4,4,4,4,0,0,0,0.1,0.1.1,0.1.1.1,0.1.1.1
MAR_220,1.3294649,3.5621624,1.0243983,1.1333333333333333,0.0,1,1,1,0,2,0,1,0,1,1,1,1,1,1,1
MAR_222,-0.21736406,1.8624557,1.6093388,0.4666666666666667,0.13333333333333333,1,1,1,0,5,2,2,2,1,1,1,1,1.1,1.1,1.1
MAR_223,0.10517129,3.2387645,1.2845984,1.0,0.5333333333333333,1,1,1,0,2,0,1,0,1,1,1,1,1,1,1
MAR_224,0.87589586,1.988943,1.6641638,0.6,0.4666666666666667,1,1,1,0,5,2,2,2,1,1,1,1,1.1,1.1,1.1
